4677: T2_2H_BOW                                                        : Novice's Bow
4678: T3_2H_BOW                                                        : Journeyman's Bow
4679: T4_2H_BOW                                                        : Adept's Bow
4680: T4_2H_BOW@1                                                      : Adept's Bow
4681: T4_2H_BOW@2                                                      : Adept's Bow
4682: T4_2H_BOW@3                                                      : Adept's Bow
4683: T5_2H_BOW                                                        : Expert's Bow
4684: T5_2H_BOW@1                                                      : Expert's Bow
4685: T5_2H_BOW@2                                                      : Expert's Bow
4686: T5_2H_BOW@3                                                      : Expert's Bow
4687: T6_2H_BOW                                                        : Master's Bow
4688: T6_2H_BOW@1                                                      : Master's Bow
4689: T6_2H_BOW@2                                                      : Master's Bow
4690: T6_2H_BOW@3                                                      : Master's Bow
4691: T7_2H_BOW                                                        : Grandmaster's Bow
4692: T7_2H_BOW@1                                                      : Grandmaster's Bow
4693: T7_2H_BOW@2                                                      : Grandmaster's Bow
4694: T7_2H_BOW@3                                                      : Grandmaster's Bow
4695: T8_2H_BOW                                                        : Elder's Bow
4696: T8_2H_BOW@1                                                      : Elder's Bow
4697: T8_2H_BOW@2                                                      : Elder's Bow
4698: T8_2H_BOW@3                                                      : Elder's Bow
4699: T4_2H_WARBOW                                                     : Adept's Warbow
4700: T4_2H_WARBOW@1                                                   : Adept's Warbow
4701: T4_2H_WARBOW@2                                                   : Adept's Warbow
4702: T4_2H_WARBOW@3                                                   : Adept's Warbow
4703: T5_2H_WARBOW                                                     : Expert's Warbow
4704: T5_2H_WARBOW@1                                                   : Expert's Warbow
4705: T5_2H_WARBOW@2                                                   : Expert's Warbow
4706: T5_2H_WARBOW@3                                                   : Expert's Warbow
4707: T6_2H_WARBOW                                                     : Master's Warbow
4708: T6_2H_WARBOW@1                                                   : Master's Warbow
4709: T6_2H_WARBOW@2                                                   : Master's Warbow
4710: T6_2H_WARBOW@3                                                   : Master's Warbow
4711: T7_2H_WARBOW                                                     : Grandmaster's Warbow
4712: T7_2H_WARBOW@1                                                   : Grandmaster's Warbow
4713: T7_2H_WARBOW@2                                                   : Grandmaster's Warbow
4714: T7_2H_WARBOW@3                                                   : Grandmaster's Warbow
4715: T8_2H_WARBOW                                                     : Elder's Warbow
4716: T8_2H_WARBOW@1                                                   : Elder's Warbow
4717: T8_2H_WARBOW@2                                                   : Elder's Warbow
